Observed_Date,Observed_Value
1/1/1992,1.68
2/1/1992,1.63
3/1/1992,1.5
4/1/1992,1.53
5/1/1992,1.52
6/1/1992,1.44
7/1/1992,1.55
8/1/1992,1.52
9/1/1992,1.47
10/1/1992,1.49
11/1/1992,1.56
12/1/1992,1.4
1/1/1993,1.66
2/1/1993,1.61
3/1/1993,1.46
4/1/1993,1.51
5/1/1993,1.49
6/1/1993,1.42
7/1/1993,1.55
8/1/1993,1.48
9/1/1993,1.45
10/1/1993,1.49
11/1/1993,1.51
12/1/1993,1.38
1/1/1994,1.64
2/1/1994,1.58
3/1/1994,1.4
4/1/1994,1.49
5/1/1994,1.46
6/1/1994,1.39
7/1/1994,1.55
8/1/1994,1.4
9/1/1994,1.41
10/1/1994,1.46
11/1/1994,1.48
12/1/1994,1.36
1/1/1995,1.59
2/1/1995,1.57
3/1/1995,1.42
4/1/1995,1.53
5/1/1995,1.45
6/1/1995,1.39
7/1/1995,1.58
8/1/1995,1.43
9/1/1995,1.44
10/1/1995,1.48
11/1/1995,1.51
12/1/1995,1.39
1/1/1996,1.62
2/1/1996,1.55
3/1/1996,1.44
4/1/1996,1.47
5/1/1996,1.41
6/1/1996,1.4
7/1/1996,1.49
8/1/1996,1.4
9/1/1996,1.42
10/1/1996,1.42
11/1/1996,1.47
12/1/1996,1.36
1/1/1997,1.54
2/1/1997,1.51
3/1/1997,1.38
4/1/1997,1.43
5/1/1997,1.4
6/1/1997,1.36
7/1/1997,1.45
8/1/1997,1.4
9/1/1997,1.36
10/1/1997,1.4
11/1/1997,1.49
12/1/1997,1.33
1/1/1998,1.57
2/1/1998,1.53
3/1/1998,1.38
4/1/1998,1.44
5/1/1998,1.43
6/1/1998,1.35
7/1/1998,1.48
8/1/1998,1.43
9/1/1998,1.39
10/1/1998,1.43
11/1/1998,1.5
12/1/1998,1.33
1/1/1999,1.59
2/1/1999,1.52
3/1/1999,1.35
4/1/1999,1.43
5/1/1999,1.4
6/1/1999,1.32
7/1/1999,1.45
8/1/1999,1.36
9/1/1999,1.35
10/1/1999,1.41
11/1/1999,1.43
12/1/1999,1.29
1/1/2000,1.54
2/1/2000,1.45
3/1/2000,1.31
4/1/2000,1.44
5/1/2000,1.36
6/1/2000,1.31
7/1/2000,1.48
8/1/2000,1.36
9/1/2000,1.37
10/1/2000,1.43
11/1/2000,1.48
12/1/2000,1.36
1/1/2001,1.55
2/1/2001,1.54
3/1/2001,1.38
4/1/2001,1.48
5/1/2001,1.37
6/1/2001,1.37
7/1/2001,1.48
8/1/2001,1.35
9/1/2001,1.45
10/1/2001,1.39
11/1/2001,1.44
12/1/2001,1.33
1/1/2002,1.49
2/1/2002,1.49
3/1/2002,1.34
4/1/2002,1.36
5/1/2002,1.3
6/1/2002,1.32
7/1/2002,1.37
8/1/2002,1.29
9/1/2002,1.35
10/1/2002,1.34
11/1/2002,1.41
12/1/2002,1.3
1/1/2003,1.45
2/1/2003,1.48
3/1/2003,1.33
4/1/2003,1.38
5/1/2003,1.33
6/1/2003,1.3
7/1/2003,1.34
8/1/2003,1.29
9/1/2003,1.29
10/1/2003,1.3
11/1/2003,1.4
12/1/2003,1.22
1/1/2004,1.42
2/1/2004,1.4
3/1/2004,1.22
4/1/2004,1.3
5/1/2004,1.28
6/1/2004,1.24
7/1/2004,1.33
8/1/2004,1.26
9/1/2004,1.28
10/1/2004,1.31
11/1/2004,1.34
12/1/2004,1.2
1/1/2005,1.42
2/1/2005,1.41
3/1/2005,1.23
4/1/2005,1.3
5/1/2005,1.26
6/1/2005,1.21
7/1/2005,1.3
8/1/2005,1.19
9/1/2005,1.23
10/1/2005,1.27
11/1/2005,1.3
12/1/2005,1.19
1/1/2006,1.36
2/1/2006,1.38
3/1/2006,1.2
4/1/2006,1.31
5/1/2006,1.22
6/1/2006,1.21
7/1/2006,1.32
8/1/2006,1.21
9/1/2006,1.3
10/1/2006,1.32
11/1/2006,1.36
12/1/2006,1.24
1/1/2007,1.4
2/1/2007,1.43
3/1/2007,1.24
4/1/2007,1.31
5/1/2007,1.22
6/1/2007,1.23
7/1/2007,1.3
8/1/2007,1.21
9/1/2007,1.31
10/1/2007,1.26
11/1/2007,1.3
12/1/2007,1.24
1/1/2008,1.35
2/1/2008,1.37
3/1/2008,1.27
4/1/2008,1.27
5/1/2008,1.21
6/1/2008,1.2
7/1/2008,1.24
8/1/2008,1.25
9/1/2008,1.3
10/1/2008,1.34
11/1/2008,1.54
12/1/2008,1.38
1/1/2009,1.59
2/1/2009,1.6
3/1/2009,1.43
4/1/2009,1.45
5/1/2009,1.4
6/1/2009,1.31
7/1/2009,1.34
8/1/2009,1.3
9/1/2009,1.31
10/1/2009,1.31
11/1/2009,1.36
12/1/2009,1.2
1/1/2010,1.39
2/1/2010,1.41
3/1/2010,1.2
4/1/2010,1.24
5/1/2010,1.24
6/1/2010,1.21
7/1/2010,1.27
8/1/2010,1.23
9/1/2010,1.27
10/1/2010,1.3
11/1/2010,1.31
12/1/2010,1.19
1/1/2011,1.37
2/1/2011,1.39
3/1/2011,1.18
4/1/2011,1.25
5/1/2011,1.23
6/1/2011,1.2
7/1/2011,1.29
8/1/2011,1.2
9/1/2011,1.25
10/1/2011,1.29
11/1/2011,1.3
12/1/2011,1.2
1/1/2012,1.36
2/1/2012,1.33
3/1/2012,1.2
4/1/2012,1.27
5/1/2012,1.21
6/1/2012,1.25
7/1/2012,1.31
8/1/2012,1.23
9/1/2012,1.31
10/1/2012,1.28
11/1/2012,1.32
12/1/2012,1.25
1/1/2013,1.37
2/1/2013,1.41
3/1/2013,1.26
4/1/2013,1.29
5/1/2013,1.22
6/1/2013,1.26
7/1/2013,1.28
8/1/2013,1.24
9/1/2013,1.31
10/1/2013,1.28
11/1/2013,1.35
12/1/2013,1.24
1/1/2014,1.4
2/1/2014,1.44
3/1/2014,1.28
4/1/2014,1.29
5/1/2014,1.25
6/1/2014,1.26
7/1/2014,1.29
8/1/2014,1.28
9/1/2014,1.3
10/1/2014,1.3
11/1/2014,1.41
12/1/2014,1.26
1/1/2015,1.49
2/1/2015,1.53
3/1/2015,1.34
4/1/2015,1.37
5/1/2015,1.35
6/1/2015,1.31
7/1/2015,1.37
8/1/2015,1.37
9/1/2015,1.38
10/1/2015,1.4
11/1/2015,1.47
12/1/2015,1.32
1/1/2016,1.59
2/1/2016,1.53
3/1/2016,1.36
4/1/2016,1.44
5/1/2016,1.39
6/1/2016,1.34
7/1/2016,1.45
8/1/2016,1.35
9/1/2016,1.39
10/1/2016,1.43
11/1/2016,1.44
12/1/2016,1.3
1/1/2017,1.51
2/1/2017,1.54
3/1/2017,1.33
4/1/2017,1.43
5/1/2017,1.33
6/1/2017,1.32
7/1/2017,1.42
8/1/2017,1.32
9/1/2017,1.37
10/1/2017,1.36
11/1/2017,1.37
12/1/2017,1.29
1/1/2018,1.46
2/1/2018,1.51
3/1/2018,1.31
4/1/2018,1.38
5/1/2018,1.27
6/1/2018,1.29
7/1/2018,1.35
8/1/2018,1.27
9/1/2018,1.37
